species,first_date,cum_species
Black-headed Gull,2025-12-15,1
Eurasian Blue Tit,2025-12-15,2
Eurasian Coot,2025-12-15,3
Eurasian Jackdaw,2025-12-15,4
Eurasian Magpie,2025-12-15,5
European Golden-Plover,2025-12-15,6
European Robin,2025-12-15,7
Great Tit,2025-12-15,8
Greater White-fronted Goose,2025-12-15,9
Little Owl,2025-12-15,10
Long-tailed Tit,2025-12-15,11
Mallard,2025-12-15,12
Redwing,2025-12-15,13
Song Thrush,2025-12-15,14
Common Chaffinch,2025-12-16,15
Common Snipe,2025-12-16,16
Dunnock,2025-12-16,17
Eurasian Blackbird,2025-12-16,18
Goldcrest,2025-12-16,19
Great Bittern,2025-12-16,20
Green Sandpiper,2025-12-16,21
Green-winged Teal,2025-12-16,22
Ring-necked Pheasant (Ring-necked),2025-12-16,23
Common Chiffchaff,2025-12-17,24
Common Sandpiper,2025-12-17,25
Crested Tit,2025-12-17,26
Dunlin,2025-12-17,27
Eurasian Moorhen,2025-12-17,28
Eurasian Treecreeper,2025-12-17,29
European Stonechat,2025-12-17,30
Short-toed Treecreeper,2025-12-17,31
Tawny Owl,2025-12-17,32
Carrion Crow,2025-12-18,33
Eurasian Curlew,2025-12-18,34
Eurasian Wren,2025-12-18,35
White Wagtail,2025-12-18,36
Black Redstart,2025-12-19,37
European Goldfinch,2025-12-19,38
Ruddy Turnstone,2025-12-19,39
Common Firecrest,2025-12-20,40
Hawfinch,2025-12-20,41
Marsh Tit,2025-12-20,42
Reed Bunting,2025-12-20,43
Coal Tit,2025-12-21,44
Eurasian Jay,2025-12-21,45
Eurasian Siskin,2025-12-21,46
Gray Wagtail,2025-12-21,47
Great Spotted Woodpecker,2025-12-21,48
Pink-footed Goose,2025-12-21,49
Gadwall,2025-12-22,50
Gray Heron,2025-12-22,51
Long-eared Owl,2025-12-22,52
Barn Owl,2025-12-23,53
Eurasian Collared-Dove,2025-12-23,54
Barnacle Goose,2025-12-24,55
Common Crane,2025-12-24,56
Eurasian Woodcock,2025-12-24,57
Yellowhammer,2025-12-25,58
Eurasian Wigeon,2025-12-26,59
Fieldfare,2025-12-26,60
Common Greenshank,2025-12-27,61
Common Kingfisher,2025-12-28,62
European Greenfinch,2025-12-28,63
House Sparrow,2025-12-28,64
Bearded Reedling,2025-12-29,65
Common Eider,2025-12-29,66
Willow Tit,2025-12-29,67
Meadow Pipit,2025-12-30,68
Tundra Swan,2025-12-30,69
Eurasian Tree Sparrow,2025-12-31,70
Gray Partridge,2025-12-31,71
Merlin,2025-12-31,72
Eurasian Kestrel,2026-01-01,73
Mediterranean Gull,2026-01-03,74
Brambling,2026-01-04,75
Eurasian Sparrowhawk,2026-01-05,76
Common Buzzard,2026-01-06,77
Northern Shoveler,2026-01-10,78
