date,n_species,n_detections
2025-12-15,14,92
2025-12-16,18,246
2025-12-17,24,522
2025-12-18,16,65
2025-12-19,16,120
2025-12-20,28,686
2025-12-21,28,707
2025-12-22,26,349
2025-12-23,25,280
2025-12-24,20,94
2025-12-25,25,181
2025-12-26,28,337
2025-12-27,23,321
2025-12-28,32,504
2025-12-29,30,620
2025-12-30,22,330
2025-12-31,21,399
2026-01-01,12,37
2026-01-02,14,24
2026-01-03,17,65
2026-01-04,12,39
2026-01-05,21,67
2026-01-06,15,104
2026-01-07,9,21
2026-01-08,14,41
2026-01-09,20,69
2026-01-10,28,159
2026-01-11,22,144
