species,first_date
Common Firecrest,2025-12-03
Redwing,2025-12-03
Black Redstart,2025-12-04
Black-headed Gull,2025-12-04
Common Greenshank,2025-12-04
Common Sandpiper,2025-12-04
Eurasian Blackbird,2025-12-04
Eurasian Blue Tit,2025-12-04
Eurasian Curlew,2025-12-04
Eurasian Jackdaw,2025-12-04
Eurasian Magpie,2025-12-04
Eurasian Woodcock,2025-12-04
European Robin,2025-12-04
European Stonechat,2025-12-04
Goldcrest,2025-12-04
Greater White-fronted Goose,2025-12-04
Hawfinch,2025-12-04
Hooded Crow,2025-12-04
Long-eared Owl,2025-12-04
Long-tailed Tit,2025-12-04
Short-toed Treecreeper,2025-12-04
Song Thrush,2025-12-04
Tawny Owl,2025-12-04
White Wagtail,2025-12-04
Crested Tit,2025-12-05
Eurasian Coot,2025-12-05
Eurasian Treecreeper,2025-12-05
Great Tit,2025-12-05
Green-winged Teal,2025-12-05
Pink-footed Goose,2025-12-05
Rook,2025-12-05
Carrion Crow,2025-12-06
Eurasian Siskin,2025-12-06
Great Bittern,2025-12-06
Eurasian Moorhen,2025-12-07
European Goldfinch,2025-12-07
Green Sandpiper,2025-12-07
Marsh Tit,2025-12-07
Dunnock,2025-12-08
Gray Heron,2025-12-08
Reed Bunting,2025-12-08
Eurasian Wren,2025-12-09
European Greenfinch,2025-12-09
Ring-necked Pheasant,2025-12-09
Coal Tit,2025-12-10
Great Spotted Woodpecker,2025-12-10
Tundra Swan,2025-12-10
Common Chiffchaff,2025-12-11
Dunlin,2025-12-11
Barn Owl,2025-12-12
Common Kingfisher,2025-12-12
Common Ringed Plover,2025-12-12
European Golden-Plover,2025-12-12
Gray Wagtail,2025-12-12
Common Crane,2025-12-13
