species,hour,n_detections
Black Redstart,6,3
Black Redstart,8,112
Black Redstart,9,111
Black Redstart,10,85
Black Redstart,11,81
Black Redstart,12,15
Black Redstart,13,11
Black Redstart,14,9
Black Redstart,16,1
Black-headed Gull,5,1
Black-headed Gull,9,3
Black-headed Gull,10,17
Black-headed Gull,11,11
Black-headed Gull,12,8
Black-headed Gull,13,6
Black-headed Gull,14,3
Eurasian Blackbird,4,40
Eurasian Blackbird,5,47
Eurasian Blackbird,6,3
Eurasian Blackbird,7,1
Eurasian Blackbird,11,1
Eurasian Blue Tit,3,1
Eurasian Blue Tit,5,8
Eurasian Blue Tit,6,12
Eurasian Blue Tit,7,2
Eurasian Blue Tit,8,8
Eurasian Blue Tit,9,27
Eurasian Blue Tit,10,17
Eurasian Blue Tit,11,26
Eurasian Blue Tit,12,5
Eurasian Blue Tit,13,2
Eurasian Blue Tit,14,7
Eurasian Jackdaw,8,7
Eurasian Jackdaw,9,2
Eurasian Jackdaw,10,5
Eurasian Jackdaw,11,5
Eurasian Jackdaw,12,10
Eurasian Jackdaw,13,5
Eurasian Jackdaw,14,4
Eurasian Jackdaw,15,48
Eurasian Jackdaw,16,6
Eurasian Magpie,1,3
Eurasian Magpie,3,1
Eurasian Magpie,4,27
Eurasian Magpie,6,1
Eurasian Magpie,7,4
Eurasian Magpie,8,8
Eurasian Magpie,9,14
Eurasian Magpie,10,8
Eurasian Magpie,11,7
Eurasian Magpie,12,2
Eurasian Magpie,13,9
Eurasian Magpie,14,1
Eurasian Magpie,15,10
Eurasian Magpie,16,9
Eurasian Magpie,18,1
Eurasian Magpie,20,3
Eurasian Magpie,23,3
European Robin,2,11
European Robin,3,65
European Robin,4,488
European Robin,5,1021
European Robin,6,504
European Robin,7,423
European Robin,8,98
European Robin,9,70
European Robin,10,23
European Robin,11,12
European Robin,12,16
European Robin,13,6
European Robin,14,6
European Robin,15,8
European Robin,16,37
European Robin,17,11
European Robin,18,1
European Robin,20,2
Great Tit,5,2
Great Tit,8,5
Great Tit,9,45
Great Tit,10,37
Great Tit,11,15
Great Tit,12,21
Great Tit,13,3
Great Tit,14,30
Great Tit,15,1
Redwing,0,6
Redwing,1,2
Redwing,2,9
Redwing,3,9
Redwing,4,1
Redwing,5,5
Redwing,6,8
Redwing,7,14
Redwing,8,8
Redwing,9,13
Redwing,10,17
Redwing,11,26
Redwing,12,10
Redwing,13,4
Redwing,14,1
Redwing,15,3
Redwing,16,2
Redwing,17,4
Redwing,18,2
Redwing,19,5
Redwing,20,7
Redwing,21,3
Redwing,22,10
Redwing,23,2
Song Thrush,1,1
Song Thrush,2,1
Song Thrush,3,1
Song Thrush,4,2
Song Thrush,5,2
Song Thrush,6,1
Song Thrush,7,4
Song Thrush,8,7
Song Thrush,9,4
Song Thrush,10,5
Song Thrush,11,3
Song Thrush,12,2
Song Thrush,14,4
Song Thrush,15,3
Song Thrush,16,4
Song Thrush,21,2
Song Thrush,23,1
