species,n_detections,n_days,occupancy_prop,category
European Robin,2275,8,0.8888888888888888,core
Black Redstart,275,8,0.8888888888888888,core
Redwing,111,8,0.8888888888888888,core
Great Tit,91,6,0.6666666666666666,core
Eurasian Magpie,73,8,0.8888888888888888,core
Eurasian Jackdaw,67,6,0.6666666666666666,core
Eurasian Blackbird,66,5,0.5555555555555556,core
Eurasian Blue Tit,63,6,0.6666666666666666,core
Hawfinch,26,7,0.7777777777777778,core
European Stonechat,25,6,0.6666666666666666,core
Long-tailed Tit,25,5,0.5555555555555556,core
Black-headed Gull,24,6,0.6666666666666666,core
Greater White-fronted Goose,21,4,0.4444444444444444,regular
Song Thrush,21,6,0.6666666666666666,core
Eurasian Curlew,17,4,0.4444444444444444,regular
Eurasian Woodcock,13,3,0.3333333333333333,regular
Goldcrest,10,4,0.4444444444444444,regular
Short-toed Treecreeper,10,3,0.3333333333333333,regular
Crested Tit,9,4,0.4444444444444444,regular
Green Sandpiper,9,2,0.2222222222222222,regular
Dunnock,8,4,0.4444444444444444,regular
Tawny Owl,8,3,0.3333333333333333,regular
Eurasian Moorhen,7,2,0.2222222222222222,regular
European Goldfinch,7,4,0.4444444444444444,regular
Common Firecrest,6,4,0.4444444444444444,regular
Eurasian Coot,5,4,0.4444444444444444,regular
Common Sandpiper,3,3,0.3333333333333333,regular
Eurasian Siskin,2,2,0.2222222222222222,regular
Eurasian Treecreeper,2,1,0.1111111111111111,regular
Green-winged Teal,2,2,0.2222222222222222,regular
Long-eared Owl,2,1,0.1111111111111111,regular
Marsh Tit,2,2,0.2222222222222222,regular
Rook,2,2,0.2222222222222222,regular
White Wagtail,2,2,0.2222222222222222,regular
Carrion Crow,1,1,0.1111111111111111,regular
Coal Tit,1,1,0.1111111111111111,regular
Common Chiffchaff,1,1,0.1111111111111111,regular
Common Greenshank,1,1,0.1111111111111111,regular
Dunlin,1,1,0.1111111111111111,regular
Eurasian Wren,1,1,0.1111111111111111,regular
European Greenfinch,1,1,0.1111111111111111,regular
Gray Heron,1,1,0.1111111111111111,regular
Great Bittern,1,1,0.1111111111111111,regular
Great Spotted Woodpecker,1,1,0.1111111111111111,regular
Hooded Crow,1,1,0.1111111111111111,regular
Pink-footed Goose,1,1,0.1111111111111111,regular
Reed Bunting,1,1,0.1111111111111111,regular
Ring-necked Pheasant,1,1,0.1111111111111111,regular
Tundra Swan,1,1,0.1111111111111111,regular
